3ea3837,yunlu,2 weeks ago,Dialog adapter
c8f45ba,Yunlu Wen,4 weeks ago,Merge pull request #4 from wylswz/chat-ui
704376f,yunlu,4 weeks ago,sender ID==0
769f63e,Yunlu Wen,4 weeks ago,Merge pull request #3 from wylswz/chat-ui
60dfbbe,yunlu,4 weeks ago,message deletion
2c15624,yunlu,4 weeks ago,Message db update
d37cbe6,Yunlu Wen,4 weeks ago,Merge pull request #2 from wylswz/chat-ui
cebb634,yunlu,4 weeks ago,Greendao setup
5b5f513,yunlu,4 weeks ago,greendao gradle
8be9d93,yunlu,4 weeks ago,Exit on fingerprint fail
9b647dd,yunlu,4 weeks ago,fingerprint unlock
52bbba1,yunlu,4 weeks ago,asd
2fad3e8,Yunlu Wen,4 weeks ago,Merge pull request #1 from wylswz/chat-ui
f6ca106,yunlu,4 weeks ago,edit user ui
50bc4c1,yunlu,5 weeks ago,READMEs
e9dc700,yunlu,5 weeks ago,contact list
17e2b2a,Yunlu Wen,5 weeks ago,Initial commit
